"PlayerName","Team","POS","ADP","PA","rPTS","PTS","aPOS","Dollars"
"Adrian Sanchez","Nationals","2B/3B","999.0","46","47.0","($899.7)","$59.8","($838.9)"
"Luis Guillorme","Mets","2B/3B","999.0","46","45.4","($901.4)","$59.8","($840.6)"
"Hanser Alberto","Orioles","2B/3B/SS","999.0","112","116.6","($827.1)","($15.0)","($841.2)"
"Pat Valaika","Rockies","1B/2B/3B/SS","999.0","101","113.1","($830.8)","($15.0)","($844.8)"
"Joe McCarthy","","1B","999.0","66","77.4","($867.9)","$18.8","($848.2)"
"Christian Arroyo","Rays","2B/3B/DH","600.8","33","36.6","($910.6)","$59.8","($849.8)"
"Victor Reyes","Tigers","OF/DH","600.5","84","91.3","($853.5)","$1.4","($851.1)"
"Magneuris Sierra","Marlins","OF","600.8","97","91.2","($853.6)","$1.4","($851.2)"
"Josh Fuentes","Rockies","1B/3B","999.0","28","33.4","($913.8)","$60.3","($852.5)"
"Andy Young","","2B","999.0","28","31.2","($916.1)","$59.8","($855.4)"
"Kevin Cron","","1B","600.5","61","69.5","($876.2)","$18.8","($856.4)"
"Ramon Urias","","2B","999.0","27","29.9","($917.5)","$59.8","($856.7)"
"Rowdy Tellez","Blue Jays","1B/DH","585.8","55","68.3","($877.5)","$18.8","($857.7)"
"Clint Frazier","Yankees","OF/DH","579.3","65","82.1","($863.0)","$1.4","($860.6)"
"Anthony Alford","Blue Jays","OF/DH","599.5","74","80.6","($864.7)","$1.4","($862.3)"
"Mike Tauchman","Yankees","OF","600.7","71","80.4","($864.9)","$1.4","($862.5)"
"Derek Fisher","Astros","OF","600.8","65","78.9","($866.4)","$1.4","($864.0)"
"Tyler Saladino","Brewers","SS","999.0","81","88.8","($856.1)","($15.0)","($870.1)"
"Richard Urena","Blue Jays","SS","999.0","88","88.4","($856.5)","($15.0)","($870.6)"
"Andrew Stevenson","Nationals","OF","999.0","65","69.0","($876.7)","$1.4","($874.3)"
"Zack Granite","Rangers","OF","601.0","60","67.9","($877.9)","$1.4","($875.5)"
"Dwight Smith Jr.","Orioles","OF","999.0","58","67.3","($878.5)","$1.4","($876.1)"
"Drew Robinson","Cardinals","OF","999.0","59","67.2","($878.7)","$1.4","($876.3)"
"A.J. Reed","Astros","1B","600.0","40","45.9","($900.8)","$18.8","($881.0)"
"Adeiny Hechavarria","Mets","SS","999.0","79","76.8","($868.6)","($15.0)","($882.7)"
"Yonathan Daza","Rockies","OF","999.0","47","55.2","($891.1)","$1.4","($888.8)"
"Jonathan Davis","Blue Jays","OF/DH","999.0","48","54.3","($892.0)","$1.4","($889.7)"
"Ildemaro Vargas","Diamondbacks","2B/3B/SS","999.0","66","69.8","($875.9)","($15.0)","($890.0)"
"Matt Thaiss","","1B","599.8","33","36.0","($911.2)","$18.8","($891.4)"
"Hanley Ramirez","Indians","1B","579.5","28","34.6","($912.6)","$18.8","($892.8)"
"Mark Zagunis","Cubs","OF","999.0","45","50.2","($896.3)","$1.4","($893.9)"
"LaMonte Wade Jr","","OF","999.0","39","45.0","($901.8)","$1.4","($899.4)"
"Preston Tucker","White Sox","OF","999.0","39","44.6","($902.2)","$1.4","($899.8)"
"Tyrone Taylor","","OF","999.0","40","43.4","($903.4)","$1.4","($901.1)"
"Joey Curletta","","1B/OF","999.0","39","43.3","($903.5)","$1.4","($901.1)"
"Carlos Tocci","Rangers","OF","999.0","39","38.7","($908.4)","$1.4","($906.0)"
"Mauricio Dubon","","2B/SS","600.9","47","53.5","($892.9)","($15.0)","($906.9)"
"Anthony Santander","Orioles","OF","999.0","33","37.7","($909.4)","$1.4","($907.0)"
"Oscar Mercado","","SS","597.4","47","53.3","($893.2)","($15.0)","($907.2)"
"Dustin Peterson","Tigers","OF","999.0","33","35.8","($911.4)","$1.4","($909.0)"
"Dylan Cozens","Phillies","OF","999.0","27","33.1","($914.2)","$1.4","($911.8)"
"Jacoby Ellsbury","Yankees","OF","999.0","28","32.3","($915.0)","$1.4","($912.6)"
"Adolis Garcia","Cardinals","OF","600.8","27","30.0","($917.4)","$1.4","($915.0)"
"Humberto Arteaga","","2B/SS","999.0","46","40.7","($906.3)","($15.0)","($920.3)"
"Ronny Rodriguez","Tigers","SS","999.0","33","38.5","($908.6)","($15.0)","($922.6)"
"Cole Tucker","","SS","600.8","34","37.0","($910.1)","($15.0)","($924.2)"
"Breyvic Valera","Giants","2B/3B/SS/OF","999.0","32","34.1","($913.2)","($15.0)","($927.2)"
"Eric Stamets","Indians","SS","999.0","33","32.1","($915.3)","($15.0)","($929.3)"
