"PlayerName","Team","POS","ADP","PA","rPTS","PTS","aPOS","Dollars"
"Martin Maldonado","Royals","C","553.2","465","477.0","($545.4)","$312.0","($232.4)"
"Edwin Encarnacion","Mariners","1B/DH","139.9","553","772.0","($256.1)","$20.7","($234.4)"
"Ian Desmond","Rockies","1B/OF","146.2","577","791.0","($237.5)","$2.1","($234.4)"
"Jeff McNeil","Mets","2B","298.1","533","712.0","($314.9)","$75.7","($238.3)"
"Jackie Bradley Jr.","Red Sox","OF","214.9","571","786.0","($242.4)","$2.1","($239.3)"
"Shohei Ohtani","Angels","DH","214.6","523","787.0","($241.4)","$0.0","($240.4)"
"Amed Rosario","Mets","SS","143.0","595","790.0","($238.4)","($3.8)","($241.2)"
"Keon Broxton","Mets","OF","569.6","527","781.0","($247.3)","$2.1","($244.2)"
"Kole Calhoun","Angels","OF","474.9","625","780.0","($248.3)","$2.1","($245.1)"
"Evan Longoria","Giants","3B","508.5","607","742.0","($285.5)","$38.4","($246.1)"
"Francisco Mejia","Padres","C/DH","237.2","374","457.0","($565.0)","$312.0","($252.0)"
"Lourdes Gurriel Jr.","Blue Jays","2B/SS","269.5","619","778.0","($250.2)","($3.8)","($253.0)"
"Ji-Man Choi","Rays","DH","557.1","534","762.0","($265.9)","$0.0","($264.9)"
"Adam Eaton","Nationals","OF","196.1","560","753.0","($274.7)","$2.1","($271.6)"
"Ian Happ","Cubs","3B/OF","382.2","525","715.0","($312.0)","$38.4","($272.6)"
"Ryan Braun","Brewers","OF","193.2","551","749.0","($278.7)","$2.1","($275.5)"
"Niko Goodrum","Tigers","1B/2B","317.8","526","672.0","($354.2)","$75.7","($277.5)"
"Andrelton Simmons","Angels","SS","254.5","624","748.0","($279.6)","($3.8)","($282.4)"
"Byron Buxton","Twins","OF","140.1","546","741.0","($286.5)","$2.1","($283.4)"
"Dee Gordon","Mariners","2B/OF","105.6","558","664.0","($362.0)","$75.7","($285.3)"
"Ben Zobrist","Cubs","2B/OF","537.9","561","664.0","($362.0)","$75.7","($285.3)"
"Kolten Wong","Cardinals","2B","579.3","515","662.0","($364.0)","$75.7","($287.3)"
"Evan Gattis","","DH","596.4","574","739.0","($288.5)","$0.0","($287.5)"
"Kyle Seager","Mariners","3B","483.9","566","698.0","($328.7)","$38.4","($289.3)"
"Marwin Gonzalez","Twins","1B/2B/SS/OF","237.1","575","739.0","($288.5)","($3.8)","($291.2)"
"DJ LeMahieu","Yankees","2B","312.4","526","646.0","($379.7)","$75.7","($303.0)"
