"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"40","Mon 7/23 11:45am: Motor Vehicle Collision (50), 133X MOKULUA DR, LANIKAI BCH, Kailua #hitraffic",FALSE,0,NA,2018-07-23 21:56:31,FALSE,NA,"1021514419958771712",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"41","Mon 7/23 11:41am: Motor Vehicle Collision (49), S BERETANIA ST + ISENBERG ST, Mccully #hitraffic",FALSE,0,NA,2018-07-23 21:56:30,FALSE,NA,"1021514418348163072",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"42","Mon 7/23 11:31am: Motor Vehicle Collision (48), 162X N SCHOOL ST, KAM SC, Kalihi #hitraffic",FALSE,0,NA,2018-07-23 21:42:30,FALSE,NA,"1021510893849391104",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"43","Mon 7/23 11:27am: Motor Vehicle Collision (47), FARRINGTON HWY + NANAKULI AVE, Nanakuli #hitraffic",FALSE,0,NA,2018-07-23 21:42:30,FALSE,NA,"1021510892255555584",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"44","Mon 7/23 11:26am: Motor Vehicle Collision (46), 202X KALAKAUA AVE, ALOHA GAS WAIKIKI, Waikiki #hitraffic",FALSE,0,NA,2018-07-23 21:42:29,FALSE,NA,"1021510890674302982",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"45","Mon 7/23 11:22am: Motor Vehicle Collision (45), 86X KAM HWY, TEXACO PEARL CITY, Pearl City #hitraffic",FALSE,0,NA,2018-07-23 21:26:24,FALSE,NA,"1021506844206936064",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"46","Mon 7/23 10:52am: Motor Vehicle Collision (44), AUIKI ST + KALIHI ST, Kalihi #hitraffic",FALSE,0,NA,2018-07-23 20:56:28,FALSE,NA,"1021499309508972545",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",1,FALSE,FALSE,NA,NA
"47","Mon 7/23 10:42am: Motor Vehicle Collision (43), 91166X FORT WEAVER RD, ZIPPYS EWA BEACH, Ewa Beach #hitraffic",FALSE,0,NA,2018-07-23 20:56:27,FALSE,NA,"1021499306413617154",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",1,FALSE,FALSE,NA,NA
"48","Mon 7/23 10:33am: Motor Vehicle Collision (42), 155X DILLINGHAM BLVD, Kalihi #hitraffic",FALSE,0,NA,2018-07-23 20:42:28,FALSE,NA,"1021495787493175300",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"49","Mon 7/23 10:28am: Motor Vehicle Collision (41) - Towed, 95150X MEHEULA PKWY, Mililani #hitraffic",FALSE,0,NA,2018-07-23 20:42:28,FALSE,NA,"1021495784624336896",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
