Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
running,2019-09-20 05:46:08,false,"Honolulu Running","6.01","587","00:54:08","144","182","3.0","167","182","9:01","6:59","46","49","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","80.6","0:00","No","00:02.95","7","0.0"
indoor_cycling,2019-09-19 06:18:14,false,"Indoor Cycling","0.00","169","00:27:29","99","115","1.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","00:00.00","1","0.0"
running,2019-09-18 06:10:56,false,"Honolulu - 3x1600","4.35","387","00:37:09","143","170","2.5","168","188","8:32","5:43","79","85","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","80.6","0:00","No","00:03.37","8","0.0"
running,2019-09-14 12:48:29,false,"Honolulu Running","1.36","392","00:33:39","156","189","3.0","64","246","24:47","5:23","30","23","1.01","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","87.8","0:00","No","09:43.96","2","0.0"
running,2019-09-14 12:07:27,false,"Honolulu Running","1.30","355","00:31:25","147","170","2.6","65","232","24:10","5:22","36","23","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","91.4","0:00","No","06:43.03","2","0.0"
running,2019-09-14 05:09:25,false,"Honolulu Running","14.13","1,736","02:21:16","161","183","4.2","164","178","10:00","7:42","423","443","0.98","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","01:31.21","15","0.0"
indoor_cycling,2019-09-12 06:09:04,false,"Indoor Cycling","0.00","54","00:06:07.0","108","122","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","00:00.00","1","0.0"
running,2019-09-11 06:05:47,false,"Honolulu Running","6.01","403","00:53:18","127","155","2.2","169","182","8:53","7:08","33","49","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","80.6","0:00","No","00:03.21","7","0.0"
running,2019-09-09 05:57:43,false,"Honolulu - 5 x 1K","5.64","521","00:59:14","133","168","2.3","151","192","10:30","6:30","128","144","0.98","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","80.6","0:00","No","03:04.35","12","0.0"
indoor_cycling,2019-09-08 06:59:53,false,"Indoor Cycling","0.00","217","00:37:08","98","118","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","73.4","0:00","No","00:00.00","1","0.0"
hiking,2019-09-07 12:43:24,false,"Honolulu Hiking","1.38","304","00:31:26","136","176","2.1","68","227","22:48","4:55","164","135","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","87.8","0:00","No","00:00.00","1","0.0"
hiking,2019-09-07 12:04:35,false,"Honolulu Hiking","1.49","354","00:32:02","145","172","2.5","75","236","21:30","4:53","220","226","1.01","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","87.8","0:00","No","00:00.00","1","0.0"
running,2019-09-07 04:34:56,false,"Honolulu Running","15.19","1,784","02:25:39","158","182","4.0","165","176","9:35","8:03","374","410","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","80.6","0:00","No","01:45.76","16","0.0"
