"PlayerName","Team","POS","ADP","IP","rPTS","PTS","aPOS","Dollars"
"Aaron Brooks","Athletics","SP","999.0","111","396.0","($478.3)","$108.1","($369.2)"
"Ryan Atkinson","","SP","999.0","100","395.0","($479.1)","$108.1","($370.0)"
"Bo Takahashi","","SP","999.0","112","395.0","($479.1)","$108.1","($370.0)"
"Caleb Smith","Marlins","SP","443.4","89","395.0","($479.1)","$108.1","($370.0)"
"Casey Lawrence","","SP","999.0","119","395.0","($479.1)","$108.1","($370.0)"
"Garrett Whitlock","","SP","999.0","106","394.0","($480.0)","$108.1","($370.9)"
"Luis Cessa","Yankees","SP","586.9","101","393.0","($480.9)","$108.1","($371.8)"
"Christian Bergman","","SP","999.0","125","393.0","($480.9)","$108.1","($371.8)"
"Jake Woodford","","SP","999.0","134","392.0","($481.8)","$108.1","($372.7)"
"Jake Buchanan","Mets","SP","999.0","131","392.0","($481.8)","$108.1","($372.7)"
"Jeffrey Springs","Rangers","SP","999.0","87","392.0","($481.8)","$108.1","($372.7)"
"Alex McRae","Pirates","SP","999.0","124","391.0","($482.6)","$108.1","($373.5)"
"Keury Mella","Reds","SP","999.0","113","391.0","($482.6)","$108.1","($373.5)"
"Hector Neris","Phillies","RP","585.5","67","391.0","($482.6)","$108.1","($373.5)"
"T.J. Zeuch","","SP","999.0","133","391.0","($482.6)","$108.1","($373.5)"
"Sterling Sharp","","SP","999.0","133","390.0","($483.5)","$108.1","($374.4)"
"Robbie Erlin","Padres","SP","576.2","99","390.0","($483.5)","$108.1","($374.4)"
"Marcos Diplan","","SP","999.0","107","389.0","($484.4)","$108.1","($375.3)"
"Alex Young","","SP","999.0","119","389.0","($484.4)","$108.1","($375.3)"
"Diego Castillo","Rays","SP","540.2","76","389.0","($484.4)","$108.1","($375.3)"
"Jaime Schultz","Dodgers","SP","999.0","81","389.0","($484.4)","$108.1","($375.3)"
"Xavier Altamirano","","SP","999.0","127","388.0","($485.3)","$108.1","($376.2)"
"Devin Smeltzer","","SP","999.0","107","388.0","($485.3)","$108.1","($376.2)"
"Adam Wainwright","Cardinals","SP","566.7","96","388.0","($485.3)","$108.1","($376.2)"
"Cionel Perez","Astros","SP","999.0","89","388.0","($485.3)","$108.1","($376.2)"
"Seranthony Dominguez","Phillies","RP","218.2","65","388.0","($485.3)","$108.1","($376.2)"
"Adrian Sampson","Rangers","SP","999.0","128","388.0","($485.3)","$108.1","($376.2)"
"Tyler Viza","","SP","999.0","103","387.0","($486.1)","$108.1","($377.0)"
"Craig Kimbrel","","RP","95.4","57","387.0","($486.1)","$108.1","($377.0)"
