"PlayerName","Team","POS","ADP","PA","rPTS","PTS","aPOS","Dollars"
"Mike Moustakas","Brewers","3B","135.0","609","833.0","($119.0)","$50.7","($67.3)"
"Carlos Santana","Indians","1B","200.8","630","835.0","($116.9)","$47.6","($68.3)"
"Carlos Correa","Astros","SS","50.0","644","882.0","($67.5)","($2.9)","($69.4)"
"Justin Smoak","Blue Jays","1B","230.7","644","834.0","($117.9)","$47.6","($69.4)"
"Jose Abreu","White Sox","1B","87.1","630","833.0","($119.0)","$47.6","($70.4)"
"Xander Bogaerts","Red Sox","SS","48.0","644","879.0","($70.7)","($2.9)","($72.5)"
"Vladimir Guerrero Jr.","","3B","56.8","595","828.0","($124.2)","$50.7","($72.5)"
"Danny Jansen","Blue Jays","C","173.8","448","540.0","($426.7)","$342.7","($83.0)"
"Eloy Jimenez","","OF","111.1","630","857.0","($93.8)","$7.6","($85.1)"
"Justin Upton","Angels","OF","113.8","630","853.0","($98.0)","$7.6","($89.3)"
"Yasiel Puig","Reds","OF","62.8","581","853.0","($98.0)","$7.6","($89.3)"
"Josh Donaldson","Braves","3B","103.5","560","811.0","($142.1)","$50.7","($90.4)"
"Eric Hosmer","Padres","1B","176.8","651","814.0","($138.9)","$47.6","($90.4)"
"Francisco Cervelli","Pirates","C","261.6","462","532.0","($435.1)","$342.7","($91.4)"
"Mitch Haniger","Mariners","OF","94.2","644","849.0","($102.2)","$7.6","($93.5)"
"Edwin Encarnacion","Mariners","1B/DH","139.9","609","809.0","($144.2)","$47.6","($95.6)"
"Nicholas Castellanos","Tigers","OF","96.0","644","846.0","($105.3)","$7.6","($96.7)"
"Eddie Rosario","Twins","OF","82.4","644","845.0","($106.4)","$7.6","($97.7)"
"Cesar Hernandez","Phillies","2B","186.9","644","767.0","($188.3)","$85.4","($101.9)"
"Mike Zunino","Rays","C","235.3","448","522.0","($445.6)","$342.7","($101.9)"
"Andrew McCutchen","Phillies","OF","130.5","595","840.0","($111.6)","$7.6","($103.0)"
"David Dahl","Rockies","OF","68.3","595","839.0","($112.7)","$7.6","($104.0)"
"Max Muncy","Dodgers","1B/3B","124.1","590","798.0","($155.7)","$50.7","($104.0)"
"Gleyber Torres","Yankees","2B/SS","68.4","630","847.0","($104.3)","($2.9)","($106.1)"
"Mallex Smith","Mariners","OF","107.3","644","836.0","($115.8)","$7.6","($107.2)"
"Tucker Barnhart","Reds","C","267.4","480","516.0","($451.9)","$342.7","($108.2)"
"Corey Seager","Dodgers","SS","89.3","637","844.0","($107.4)","($2.9)","($109.3)"
"Dee Gordon","Mariners","2B/OF","105.6","644","758.0","($197.8)","$85.4","($111.4)"
"Stephen Piscotty","Athletics","OF","156.8","644","830.0","($122.1)","$7.6","($113.5)"
"Jorge Alfaro","Marlins","C","248.7","512","511.0","($457.2)","$342.7","($113.5)"
"Lorenzo Cain","Brewers","OF","62.5","630","826.0","($126.3)","$7.6","($117.7)"
"Adam Jones","Diamondbacks","OF","391.8","712","822.0","($130.5)","$7.6","($121.9)"
"Brian Dozier","Nationals","2B","144.1","560","748.0","($208.3)","$85.4","($121.9)"
"Brandon Belt","Giants","1B","438.0","609","783.0","($171.5)","$47.6","($122.9)"
"Josh Bell","Pirates","1B","266.8","616","782.0","($172.6)","$47.6","($124.0)"
"Jackie Bradley Jr.","Red Sox","OF","214.9","630","817.0","($135.8)","$7.6","($127.1)"
"Jake Lamb","Diamondbacks","3B","290.4","595","776.0","($178.9)","$50.7","($127.1)"
"Wilmer Flores","Diamondbacks","1B","421.0","604","778.0","($176.8)","$47.6","($128.2)"
"Lucas Duda","Royals","1B/DH","600.3","609","777.0","($177.8)","$47.6","($129.2)"
"Miguel Andujar","Yankees","3B","82.1","595","774.0","($181.0)","$50.7","($129.2)"
"Aaron Hicks","Yankees","OF","139.0","595","812.0","($141.0)","$7.6","($132.4)"
"Victor Robles","Nationals","OF","83.2","603","809.0","($144.2)","$7.6","($135.5)"
"Robinson Cano","Mets","2B","119.7","595","735.0","($221.9)","$85.4","($135.5)"
"Kyle Schwarber","Cubs","OF","211.2","574","805.0","($148.4)","$7.6","($139.7)"
